n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total,stdev n_total
1,1,0.5,0.382225848765,0.00116681952578,0.0,0.0,0.979686073091,0.000566312137336,64371.1,159.333267085
1,1,0.691462461274,0.500586921296,0.00141118029617,0.0,0.0,0.987078993405,0.000357063797512,81196.2,173.611520355
1,1,0.841344746069,0.661183641975,0.00170322036863,0.0,0.0,0.992785157731,0.000184314241937,99296.0,186.567414089
1,1,0.933192798731,0.821327777778,0.00181072438306,0.0,0.0,0.996638119519,0.000182411284965,114826.0,225.97521988
1,1,0.977249868052,0.931025231481,0.00149133622134,0.0,0.0,0.998819702916,0.000104980340253,124723.5,174.643780307
1,1,0.987775527345,0.962013850309,0.000857776181406,0.0,0.0,0.999332485528,6.52064428593e-05,127491.3,137.309176678
1,1,0.993790334674,0.979933873457,0.000443196879699,0.0,0.0,0.999661954464,2.84708390802e-05,128984.3,168.25935338
1,1,0.998650101968,0.995608564815,0.000353824162301,0.0,0.0,0.999928671332,2.35388848288e-05,130380.3,145.963728371
1,2,0.5,0.0479796296296,0.000858383787211,0.230415760031,0.000999622041046,0.979680026904,0.000359292466355,98994.0,299.920656174
1,2,0.691462461274,0.151516628086,0.0019771786234,0.1508109375,0.000954901535534,0.986956770158,0.000285691789406,137776.1,300.631485377
1,2,0.841344746069,0.368033834877,0.00172091926617,0.0682430748457,0.000638063898283,0.992758048752,0.000183701218467,184911.9,278.310779525
1,2,0.933192798731,0.650302584877,0.00245241382022,0.0180117476852,0.000277479376786,0.996734080857,0.000150316918735,225611.3,324.601309301
1,2,0.977249868052,0.864316165123,0.00188532799593,0.00248690200617,0.000122925786149,0.998880632844,7.72143573636e-05,249079.3,196.051549344
1,2,0.987775527345,0.924578395062,0.00161621194246,0.00070680941358,9.16639569975e-05,0.999358206001,5.38301002967e-05,254594.9,269.462223697
1,2,0.993790334674,0.960895987654,0.000591372169942,0.000218537808642,4.6012379328e-05,0.999683649652,3.28838653565e-05,257952.4,305.040390768
1,2,0.998650101968,0.991313618827,0.000376462303229,5.43981481481e-06,6.7514329797e-06,0.999927522439,1.31058578412e-05,260771.9,259.263360311
1,3,0.5,0.000878703703704,7.62094553655e-05,0.461152301955,0.000891190095758,0.979350978184,0.000410493905775,104059.8,228.295335038
1,3,0.691462461274,0.0186130015432,0.000586593552918,0.345430735597,0.000987749635385,0.986921280241,0.000245018672458,159254.0,407.187917306
1,3,0.841344746069,0.152697492284,0.00206383489812,0.169578948045,0.00132917370245,0.992727068814,0.000148509141355,246977.5,608.105788494
1,3,0.933192798731,0.490213580247,0.00287243328958,0.0417666280864,0.000667453753205,0.996725485176,0.000127048598189,330470.4,460.216296973
1,3,0.977249868052,0.795921643519,0.00222230304804,0.00550069444444,0.000294556670187,0.998831899199,6.84367990934e-05,372140.3,292.79585038
1,3,0.987775527345,0.886003896605,0.00156441306116,0.00159358281893,0.000117494993937,0.999359650719,3.47334674985e-05,381667.1,311.568756457
1,3,0.993790334674,0.941348688272,0.00128011712419,0.000416075102881,5.20370227989e-05,0.999675360182,2.34836979633e-05,386889.2,320.307914357
1,3,0.998650101968,0.986933950617,0.000406368024489,2.33667695473e-05,9.85019345193e-06,0.999920204804,1.25560593056e-05,390992.0,259.53843646
1,4,0.5,7.48456790123e-06,7.09960408358e-06,0.595609259259,0.000410235604114,0.979818455966,0.00044543381018,104125.9,178.975668737
1,4,0.691462461274,0.000742669753086,0.00011055647536,0.500281028164,0.000973513945958,0.986743499784,0.000237654475698,162242.8,431.63498468
1,4,0.841344746069,0.0422045910494,0.0005686643866,0.292903298611,0.00145257093916,0.992819016463,0.000138337288356,280762.5,806.461313393
1,4,0.933192798731,0.340363580247,0.00265380269555,0.0744481770833,0.00111250782617,0.996696730554,6.79787118964e-05,425330.9,773.758935328
1,4,0.977249868052,0.727546026235,0.00242679759854,0.00888546489198,0.000171572561214,0.998813283441,3.825458942e-05,494644.1,384.606409203
1,4,0.987775527345,0.848201967593,0.00172554056726,0.00250452353395,8.44769486081e-05,0.999368408196,3.60021353556e-05,508560.7,206.395760615
1,4,0.993790334674,0.92069529321,0.00119383720947,0.00064809992284,6.776918872e-05,0.999676520698,2.42707763865e-05,515659.0,401.172780732
1,4,0.998650101968,0.982551929012,0.000656947185929,2.75270061728e-05,7.53614538879e-06,0.999929817079,9.15396240005e-06,521484.1,277.344352746
1,5,0.5,7.02160493827e-06,2.11875466323e-06,0.676335447531,0.000526028373446,0.979818557301,0.000411531832054,104199.5,315.194305152
1,5,0.691462461274,1.32330246914e-05,8.19146864779e-06,0.599778765432,0.00112991720128,0.986930862052,0.000272247917048,162434.0,741.699939329
1,5,0.841344746069,0.00637619598765,0.000333294994241,0.414806520062,0.00127339029134,0.992666766602,0.000194422645313,290268.7,824.275930742
1,5,0.933192798731,0.215325925926,0.00253706959067,0.117020362654,0.00140235109449,0.996733455447,9.27669381703e-05,507369.0,1180.3757029
1,5,0.977249868052,0.660767669753,0.00278799792115,0.0125435030864,0.000383819074254,0.998843821764,3.47623524238e-05,616003.4,636.373978098
1,5,0.987775527345,0.809763155864,0.00202888032148,0.00347743055556,0.000153359715394,0.999361954216,5.14998733606e-05,634745.8,292.384951733
